objectid,acres,wqclass_id,description,class,standard,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_perimetershape
53,115.719,38,Manele-Hulopoe MLCD Part B: Manele Bay,AA,1, , ,1899/12/30 00:00:00+00,{E5A378E7-C558-4266-9631-4217F2D6683F},,,,2016/09/13 00:00:00+00,,,,468312.52197538,3976.17503672
54,4.171,39,Manele Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{1CF84C7C-2109-44BA-9EC0-6FF3ABFDF065},,,,2016/09/13 00:00:00+00,,,,16880.1084676186,539.291710376162
55,153.495,37,Manele-Hulopoe MLCD Part A: Hulopoe Bay,AA,1, , ,1899/12/30 00:00:00+00,{D23C28AC-F293-4F8F-991A-65F7E047D8C6},,,,2016/09/13 00:00:00+00,,,,621190.066405721,4717.27293148188
56,160.345,43,Molokini Shoal MLCD,AA,2, , ,1899/12/30 00:00:00+00,{07E6127C-5B8E-4F53-A08B-6D7153027858},,,,2016/09/13 00:00:00+00,,,,648918.782784938,5026.45099978706
57,778.214,70,Ahihi-Kinau Natural Area Reserve,AA,12, , ,1899/12/30 00:00:00+00,{307F6774-5454-4E89-84D4-976D9C044EEF},,,,2016/09/13 00:00:00+00,,,,3149447.39157829,14164.1292082851
58,128496.151,56,Open coastal waters from Leleiwi Point to Waiulaula,A,2, , ,1899/12/30 00:00:00+00,{E8824DFF-A452-45DB-8E9C-9CC9BAE49A6F},,,,2016/09/13 00:00:00+00,,,,520008378.940589,361844.484384854
59,82.744,61,Lapakahi MLCD Part B,AA,2, , ,1899/12/30 00:00:00+00,{AD258332-E39D-4976-969C-125B9A148CFE},,,,2016/09/13 00:00:00+00,,,,334865.46975013,5707.26308592381
60,23.582,60,Lapakahi MLCD Part A,AA,2, , ,1899/12/30 00:00:00+00,{FF17760D-BC50-45AB-896A-3394AA464307},,,,2016/09/13 00:00:00+00,,,,95435.7605773008,1996.41574899602
61,97.318,65,Kawaihae Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{73ED7E0C-94ED-44ED-B7B5-690F5BC9BFC0},,,,2016/09/13 00:00:00+00,,,,393846.770884604,3784.12822841414
62,148998.145,78,Open coastal waters from Waiulaula Point to Leleiwi Point,AA,2, , ,1899/12/30 00:00:00+00,{271E5964-20D4-4331-94E5-3E56CC709316},,,,2016/09/13 00:00:00+00,,,,602978874.481705,749024.61843538
63,34.724,57,Wailea Bay MLCD,AA,1, , ,1899/12/30 00:00:00+00,{8AF84412-E831-49F9-9CD8-C513642A5269},,,,2016/09/13 00:00:00+00,,,,140525.657670373,1854.73086856544
64,49.457,49,Puako Bay,AA,1, , ,1899/12/30 00:00:00+00,{A2EE1319-8C32-4B06-BFC0-AB814AE78FC3},,,,2016/09/13 00:00:00+00,,,,200148.383640592,2189.92161334412
65,16.65,50,Waiulua Bay,AA,1, , ,1899/12/30 00:00:00+00,{C7FFF647-5240-441B-9D66-B44B1B9020BE},,,,2016/09/13 00:00:00+00,,,,67380.5216604823,2086.37165811197
66,202.726,51,Anaehoomalu Bay,AA,1, , ,1899/12/30 00:00:00+00,{471FDF61-477C-4AEA-B252-AEE649A278C2},,,,2016/09/13 00:00:00+00,,,,820417.965980291,4849.09067824438
67,640.212,52,Kiholo Bay,AA,1, , ,1899/12/30 00:00:00+00,{16D42729-4398-4712-B7A8-461968D3C0BE},,,,2016/09/13 00:00:00+00,,,,2590896.05157996,8551.4151388807
